   1 UMi  1  2 00 10 +66 00 3   Quæ in Extremitate Caudæ, Polaris
   2 UMi  2  2 02 30 +70 00 4       Posthanc in Cauda
   3 UMi  3  2 16 00 +74 00 4       Ante Eductionem Caudæ
   4 UMi  4  2 29 20 +75 40 4       Australis præcedentis lateris quadrilateri
   5 UMi  5  3 03 40 +77 40 4       Ejusdem lateris Borea
   6 UMi  6  3 17 20 +72 50 2       Australis sequentis lateris {quad}i
   7 UMi  7  3 26 10 +74 50 2       Ejusdem lateris Borea
   8 UMi~ 1  3 13 00 +71 10 4
   9 UMa  1  2 25 20 +39 50 4   Quæ in Rostro
  10 UMa  2  2 25 50 +43 00 5       Illarum inter duos Oculos præcedens
  11 UMa  3  2 26 20 +43 00 5                                 sequens
  12 UMa  4  2 26 10 +47 10 5       In Fronte duarum præcedens
  13 UMa  5  2 27 40 +47 00 5                        sequens
  14 UMa  6  2 28 10 +50 30 5       In Extremitate Auris præcedentis
  15 UMa  7  3 00 30 +43 50 4       Duarum in Collo præcedens
  16 UMa  8  3 02 30 +44 20 4                       sequens
  17 UMa  9  3 09 00 +44 00 4       Duarum in Pectore Borealior
  18 UMa 10  3 11 00 +42 00 4                         Australior
  19 UMa 11  3 10 40 +35 00 3       In sinistro Genu
  20 UMa 12  3 05 30 +29 20 3       In sinistro præcedente Pede Borea
  21 UMa 13  3 06 20 +28 20 3                                   Austrina
  22 UMa 14  3 05 40 +36 00 4       Supra Genu dextrum
  23 UMa 15  3 05 50 +33 20 4       Infra Genu dextrum
  24 UMa 16  3 17 40 +49 00 2       In {quad}o super costis, vel in Humero
  25 UMa 17  3 22 10 +44 30 2       Ad latus, vel in Ventre
  26 UMa 18  4 03 10 +51 00 3       In Eductione Caudæ
  27 UMa 19  4 03 00 +46 30 2       Reliqua in sinistro posteriore Femore
  28 UMa 20  3 22 40 +29 20 3       Duarum in sinistro posteriore Pede, præcedens
  29 UMa 21  3 24 10 +28 15 3                                           sequens
  30 UMa 22  4 01 40 +35 15 4       In Poplite sinistro
  31 UMa 23  4 09 50 +25 50 3       In dextro posteriore Pede Borea
  32 UMa 24  4 10 20 +25 00 3                                 Austrina
  33 UMa 25  4 12 10 +53 30 2       Trium in Cauda ab Eductione prima
  34 UMa 26  4 18 00 +55 40 2                                   media
  35 UMa 27  4 29 50 +54 00 2       In Extremitate Caudæ tertia
